type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	4.1146e+03	1.7879e-16	1.0146e+00	9.9516e+01
LAE	3.8699e+03	6.3045e-17	2.1450e-01	1.4682e+02
LAE	3.9626e+03	6.4463e-17	2.9830e-01	1.1319e+02
LAE	3.9017e+03	1.0075e-16	2.1100e-02	2.4246e+03
LAE	3.9543e+03	7.3111e-17	1.0416e+00	3.6611e+01
OII	3.8966e+03	5.9901e-16	1.8705e+01	1.6220e+01
OII	4.1086e+03	1.4565e-15	2.8414e+02	2.8862e+00
OII	4.0982e+03	2.8621e-15	2.0582e+02	7.7904e+00
LAE	4.0790e+03	1.0193e-16	1.7645e+00	3.2061e+01
LAE	3.9004e+03	8.6947e-17	1.2852e+00	3.4330e+01
OII	3.8503e+03	1.4921e-16	1.0058e+01	7.3358e+00
LAE	4.0787e+03	5.5210e-17	2.7620e-01	1.1092e+02
LAE	4.1890e+03	4.7725e-17	2.3760e-01	1.1757e+02
LAE	4.0439e+03	7.2961e-17	2.4250e-01	1.6412e+02
LAE	3.9468e+03	6.7074e-17	5.3840e-01	6.4733e+01
LAE	4.0188e+03	5.0619e-17	2.1919e+00	1.2441e+01
LAE	4.0323e+03	4.9019e-17	7.9000e-02	3.3652e+02
LAE	3.9723e+03	6.3187e-17	1.7831e+00	1.8652e+01
LAE	4.0842e+03	1.0296e-16	1.1588e+00	4.9438e+01
LAE	3.8234e+03	6.8919e-17	5.7280e-01	5.8669e+01
LAE	4.1361e+03	4.6056e-17	1.1060e-01	2.3763e+02
LAE	4.0345e+03	3.1868e-16	2.1743e+00	7.9579e+01
LAE	4.1700e+03	6.7081e-17	6.8580e-01	5.6734e+01
LAE	4.1892e+03	4.8747e-17	9.0400e-02	3.1566e+02
LAE	3.9812e+03	5.1213e-17	2.5390e-01	1.0664e+02
LAE	4.0226e+03	5.1128e-17	4.8670e-01	5.6700e+01
LAE	4.0945e+03	6.2533e-17	1.5570e-01	2.2460e+02
LAE	4.1750e+03	5.5477e-17	1.9810e-01	1.6283e+02
LAE	4.1030e+03	4.7363e-17	1.3510e-01	1.9686e+02
LAE	4.1361e+03	6.0811e-17	4.2530e-01	8.1592e+01
LAE	3.9317e+03	5.1764e-17	5.2060e-01	5.1269e+01
LAE	4.0937e+03	1.1562e-16	3.5460e-01	1.8227e+02
LAE	4.1166e+03	4.4531e-17	9.6410e-01	2.6110e+01
LAE	4.1980e+03	4.6738e-17	8.4400e-02	3.2554e+02
LAE	3.8836e+03	6.5459e-17	6.0870e-01	5.4102e+01
LAE	4.1513e+03	8.3899e-17	4.3880e-01	1.0991e+02
LAE	3.9820e+03	9.3486e-17	9.2820e-01	5.3270e+01
LAE	3.8845e+03	5.7792e-17	1.6570e-01	1.7555e+02
LAE	3.9569e+03	5.6388e-17	6.6040e-01	4.4594e+01
OII	4.0262e+03	1.0922e-16	1.3088e+03	4.5100e-02
LAE	4.1160e+03	4.8892e-17	2.6670e-01	1.0360e+02
OII	4.1107e+03	2.0152e-15	2.5662e+02	4.4264e+00
LAE	4.1446e+03	5.7741e-17	1.0310e-01	3.2090e+02
LAE	4.1421e+03	6.6693e-17	5.0192e+00	7.6044e+00
LAE	4.0889e+03	9.8324e-17	2.1900e-01	2.5038e+02
LAE	4.1486e+03	6.2734e-17	6.8700e-01	5.2425e+01
LAE	3.8975e+03	5.9434e-17	5.8570e-01	5.1418e+01
LAE	4.1225e+03	5.5637e-17	1.1688e+00	2.6985e+01
LAE	4.0275e+03	5.4496e-17	1.9300e-01	1.5278e+02
LAE	4.0105e+03	8.0321e-17	4.0380e-01	1.0672e+02
LAE	4.2000e+03	6.6144e-17	2.5360e-01	1.5347e+02
LAE	3.8015e+03	1.0336e-16	5.8500e-01	8.5171e+01
OII	4.1216e+03	5.5436e-16	2.2681e+02	1.3850e+00
LAE	4.1314e+03	8.7367e-17	7.7220e-01	6.4416e+01
OII	4.1667e+03	2.2581e-16	6.4281e+00	2.0343e+01
LAE	4.0823e+03	6.9399e-17	1.4740e-01	2.6173e+02
LAE	3.8177e+03	8.1252e-17	3.5970e-01	1.0982e+02
OII	4.1950e+03	3.6916e-15	9.4593e+01	2.2909e+01
LAE	3.9302e+03	9.6647e-17	3.9050e-01	1.2752e+02
LAE	4.1813e+03	5.0424e-17	2.4684e+00	1.1913e+01
OII	4.1528e+03	6.1267e-16	5.9075e+01	5.9659e+00
LAE	4.1924e+03	1.5764e-16	3.8180e-01	2.4207e+02
LAE	4.0630e+03	5.3187e-17	1.8456e+01	1.5868e+00
LAE	4.1587e+03	5.5511e-17	1.7765e+00	1.8026e+01
OII	3.9805e+03	2.2782e-16	2.1514e+01	5.5966e+00
LAE	4.1449e+03	5.6137e-17	9.0400e-02	3.5587e+02
LAE	3.9894e+03	6.5172e-17	1.0107e+00	3.4232e+01
LAE	4.0356e+03	1.0836e-16	2.4860e-01	2.3679e+02
LAE	4.1105e+03	5.6181e-17	2.9060e-01	1.0896e+02
LAE	3.9548e+03	7.0919e-17	3.9780e-01	9.3008e+01
LAE	3.8740e+03	9.4653e-17	1.5580e-01	3.0413e+02
LAE	4.0124e+03	6.0743e-17	1.3845e+00	2.3561e+01
LAE	3.9960e+03	7.2683e-17	1.0200e-01	3.7954e+02
LAE	4.0270e+03	5.3495e-17	1.5360e-01	1.8839e+02
LAE	3.9262e+03	1.1948e-16	2.6190e-01	2.3458e+02
LAE	4.0588e+03	5.4673e-17	2.1540e-01	1.3948e+02
LAE	3.9376e+03	4.6780e-17	5.8100e-02	4.1641e+02
LAE	4.0424e+03	5.2438e-17	2.0500e-02	1.3943e+03
LAE	3.9243e+03	5.8031e-17	2.6306e+00	1.1332e+01
OII	3.9685e+03	1.0703e-15	1.5144e+02	3.7127e+00
LAE	4.0466e+03	6.0825e-17	3.7748e+00	8.8014e+00
LAE	3.8683e+03	9.4523e-17	1.8200e-01	2.5923e+02
LAE	3.9670e+03	8.7602e-17	1.2871e+00	3.5728e+01
OII	4.0018e+03	2.8314e-16	1.0903e+02	1.3873e+00
LAE	4.0954e+03	6.1753e-17	1.5620e-01	2.2118e+02
LAE	4.0206e+03	8.7886e-17	2.5000e-01	1.8955e+02
LAE	4.1146e+03	5.8791e-17	4.0000e-04	8.3003e+04
LAE	4.0404e+03	5.0120e-17	4.3810e-01	6.2297e+01
LAE	3.8375e+03	7.1871e-17	2.8510e-01	1.2383e+02
LAE	4.1995e+03	1.0693e-16	4.1880e-01	1.5020e+02
LAE	4.1751e+03	4.9754e-17	1.0047e+01	2.8794e+00
OII	3.9967e+03	4.0757e-16	2.5609e+02	8.4800e-01
LAE	4.0830e+03	9.4332e-17	1.2230e-01	4.2892e+02
LAE	3.9876e+03	7.5347e-17	2.7190e-01	1.4698e+02
LAE	4.0973e+03	5.2506e-17	3.8820e-01	7.5742e+01
LAE	4.1639e+03	7.5734e-17	2.0657e+00	2.1204e+01
LAE	3.9991e+03	5.1516e-17	1.4370e-01	1.9125e+02
OII	4.1059e+03	2.0457e-16	1.8909e+01	6.0838e+00
LAE	4.0811e+03	7.3381e-17	9.1590e-01	4.4510e+01
LAE	4.1837e+03	6.0976e-17	1.6050e-01	2.2181e+02
OII	3.8671e+03	9.7047e-15	1.3739e+04	3.5240e-01
LAE	4.0669e+03	7.9319e-17	1.8180e-01	2.4071e+02
LAE	4.0927e+03	7.3979e-17	1.4134e+00	2.9244e+01
LAE	3.8565e+03	7.0406e-17	3.3050e-01	1.0568e+02
LAE	3.9550e+03	6.7850e-17	-1.6300e-02	1.0000e+04
LAE	3.9953e+03	8.7942e-17	8.6370e-01	5.4215e+01
LAE	3.9419e+03	7.1906e-17	2.2230e-01	1.6766e+02
OII	4.0243e+03	1.6928e-16	6.5514e+00	1.3959e+01
LAE	3.9621e+03	1.3629e-16	6.8980e-01	1.0346e+02
OII	4.1802e+03	1.0369e-16	1.4123e+01	4.2793e+00
LAE	4.0054e+03	7.9980e-17	1.5240e-01	2.8085e+02
OII	4.1544e+03	1.3259e-16	1.7066e+01	4.4728e+00
OII	4.0991e+03	4.7940e-15	1.0306e+03	2.6072e+00
LAE	4.1195e+03	4.7371e-17	2.4510e-01	1.0941e+02
LAE	4.0073e+03	7.9340e-17	4.0870e-01	1.0399e+02
LAE	4.1871e+03	7.2327e-17	2.7902e+00	1.5159e+01
LAE	4.0858e+03	8.2133e-17	9.9300e-02	4.6057e+02
LAE	4.0875e+03	1.4111e-16	6.9630e-01	1.1294e+02
LAE	4.0549e+03	7.3143e-17	3.1302e+01	1.2815e+00
LAE	3.8993e+03	1.1413e-16	1.9418e+01	2.9810e+00
OII	4.1074e+03	7.0435e-17	6.2940e+00	6.2977e+00
OII	3.8622e+03	1.3127e-14	3.6170e+03	1.8058e+00
LAE	4.0288e+03	1.1188e-16	2.5626e+00	2.3637e+01
OII	4.1870e+03	9.9111e-16	1.8597e+03	3.1170e-01
LAE	4.0621e+03	1.2177e-16	1.1798e+00	5.6808e+01
LAE	4.1019e+03	6.4778e-17	2.6560e-01	1.3688e+02
LAE	4.1418e+03	7.7835e-17	3.0080e-01	1.4807e+02
LAE	3.9714e+03	5.5459e-17	8.2200e-02	3.5496e+02
LAE	3.9260e+03	5.7140e-17	2.7989e+00	1.0496e+01
OII	4.1913e+03	6.6771e-17	1.0049e+01	3.8935e+00
LAE	3.9323e+03	5.1834e-17	1.2290e-01	2.1754e+02
LAE	3.9814e+03	5.7821e-17	6.5910e-01	4.6385e+01
LAE	4.0168e+03	5.2275e-17	1.7360e-01	1.6206e+02
LAE	3.9063e+03	8.6419e-17	7.9270e-01	5.5491e+01
LAE	3.8314e+03	8.0708e-17	9.2500e-02	4.2723e+02
LAE	3.9816e+03	5.7945e-17	2.3050e-01	1.3293e+02
LAE	3.8047e+03	8.3689e-17	1.7722e+00	2.2802e+01
LAE	4.0660e+03	8.3237e-17	2.6480e-01	1.7334e+02
LAE	3.8104e+03	1.2263e-16	4.6790e-01	1.2693e+02
LAE	3.8854e+03	1.0616e-16	1.4794e+00	3.6134e+01
LAE	4.0429e+03	5.2731e-17	9.5000e-02	3.0262e+02
LAE	3.8620e+03	8.1146e-17	4.7890e-01	8.4301e+01
LAE	3.8285e+03	7.2187e-17	1.0586e+00	3.3340e+01
LAE	4.0030e+03	9.0299e-17	6.4530e-01	7.4796e+01
LAE	4.1973e+03	1.3875e-16	5.7340e-01	1.4220e+02
LAE	4.1333e+03	5.7711e-17	4.8270e-01	6.8133e+01
LAE	4.0843e+03	7.0034e-17	1.1649e+00	3.3453e+01
OII	4.0919e+03	4.5862e-16	8.5176e+01	3.0072e+00
LAE	4.1758e+03	4.9753e-17	1.3855e+00	2.0886e+01
LAE	4.1094e+03	5.4249e-17	3.2390e-01	9.4343e+01
LAE	3.8684e+03	5.4625e-17	3.4990e-01	7.7928e+01
LAE	4.0728e+03	7.7985e-17	6.7967e+00	6.3487e+00
LAE	3.8224e+03	8.8617e-17	2.9733e+00	1.4526e+01
LAE	3.8425e+03	8.0366e-17	2.4891e+00	1.5901e+01
LAE	3.8707e+03	7.8329e-17	9.2400e-02	4.2365e+02
LAE	3.9209e+03	8.5985e-17	3.1786e+00	1.3872e+01
LAE	3.9267e+03	5.0789e-17	3.9170e-01	6.6687e+01
LAE	3.8476e+03	1.1222e-16	1.9610e-01	2.8259e+02
OII	4.1954e+03	4.7159e-17	1.4160e+00	1.9554e+01
LAE	4.0477e+03	7.5988e-17	2.5080e-01	1.6558e+02
OII	4.1937e+03	3.3204e-16	4.1325e+00	4.7137e+01
LAE	3.8440e+03	7.7131e-17	2.9100e-02	1.3064e+03
LAE	4.1768e+03	7.1121e-17	2.0200e-01	2.0489e+02
LAE	3.8557e+03	6.2353e-17	3.4120e-01	9.0620e+01
LAE	4.0692e+03	7.8994e-17	9.7774e+00	4.4624e+00
LAE	4.0515e+03	5.2843e-17	5.2410e+00	5.5206e+00
LAE	3.9512e+03	7.4176e-17	2.3930e-01	1.6142e+02
LAE	3.9225e+03	7.8563e-17	2.0700e-01	1.9478e+02
LAE	4.1712e+03	1.0194e-16	3.5921e+00	1.6470e+01
OII	4.0879e+03	5.2553e-17	1.0110e+01	2.8974e+00
LAE	4.0880e+03	5.2376e-17	1.1530e-01	2.5322e+02
LAE	4.1747e+03	9.0579e-17	2.0610e-01	2.5549e+02
OII	3.9387e+03	1.0408e-15	2.0174e+02	2.6696e+00
LAE	4.0398e+03	5.0231e-17	2.4460e-01	1.1179e+02
LAE	4.1167e+03	6.1976e-17	8.6070e-01	4.0706e+01
LAE	3.8851e+03	7.3453e-17	1.0100e-01	3.6616e+02
LAE	4.0093e+03	1.2680e-16	1.2647e+00	5.3758e+01
LAE	3.9329e+03	5.0021e-17	4.1300e-02	6.2490e+02
LAE	4.0615e+03	5.0685e-17	-2.2500e-02	1.0000e+04
LAE	4.1750e+03	6.4794e-17	3.2250e-01	1.1681e+02
LAE	4.1322e+03	4.9569e-17	7.5400e-02	3.7444e+02
LAE	3.9228e+03	7.1044e-17	7.1550e-01	5.0967e+01
OII	4.1651e+03	5.7862e-17	2.0818e+01	1.6084e+00
OII	4.1986e+03	8.7019e-16	6.2213e+01	8.2247e+00
LAE	3.8111e+03	6.1542e-17	3.3100e-02	9.0078e+02
LAE	3.8476e+03	6.5381e-17	9.1960e+00	3.5108e+00
LAE	4.0615e+03	6.3035e-17	7.3460e-01	4.7216e+01
OII	4.1798e+03	8.6907e-17	2.1014e+00	2.4101e+01
LAE	4.0072e+03	6.2556e-17	1.6890e-01	1.9838e+02
LAE	4.1880e+03	5.6418e-17	5.3120e-01	6.2137e+01
LAE	4.0632e+03	7.5461e-17	5.0800e-01	8.1803e+01
OII	4.0537e+03	5.5611e-16	4.0429e+01	7.5397e+00
LAE	4.1459e+03	4.8654e-17	2.3810e-01	1.1716e+02
LAE	3.8706e+03	8.9986e-17	2.6350e-01	1.7066e+02
LAE	4.1777e+03	7.6204e-17	5.6780e-01	7.8133e+01
OII	4.0693e+03	1.8401e-16	9.1290e+01	1.1134e+00
LAE	4.1464e+03	1.1003e-16	1.5320e-01	4.1188e+02
LAE	4.1414e+03	5.4836e-17	6.4650e-01	4.8525e+01
LAE	4.1822e+03	1.4081e-16	3.3370e-01	2.4619e+02
LAE	4.1077e+03	6.0029e-17	1.4400e-01	2.3463e+02
OII	4.0488e+03	1.3828e-16	1.7971e+01	4.2076e+00
LAE	3.9476e+03	8.7737e-17	3.5499e+00	1.2848e+01
LAE	4.0850e+03	5.5236e-17	1.5870e-01	1.9374e+02
LAE	4.1507e+03	7.7214e-17	1.6250e-01	2.7306e+02
OII	4.1949e+03	8.5443e-15	1.4622e+03	3.4302e+00
OII	4.1349e+03	8.5791e-16	1.0224e+02	4.7855e+00
LAE	4.0400e+03	4.8443e-17	2.3320e-01	1.1310e+02
LAE	3.8100e+03	6.6689e-17	4.5580e-01	7.0844e+01
OII	3.8788e+03	1.0056e-14	3.9298e+03	1.2842e+00
LAE	4.1124e+03	5.8015e-17	-7.6000e-03	1.0000e+04
LAE	3.9485e+03	5.6459e-17	1.2556e+00	2.3384e+01
LAE	4.1449e+03	2.0940e-16	2.0281e+00	5.9170e+01
LAE	3.9490e+03	5.3249e-17	1.4900e-01	1.8590e+02
LAE	3.8013e+03	1.1848e-16	2.3020e-01	2.4807e+02
LAE	4.0813e+03	7.1258e-17	2.5710e-01	1.5399e+02
LAE	3.9734e+03	1.1539e-16	4.1900e+00	1.4503e+01
OII	4.0684e+03	3.5169e-16	4.5061e+01	4.3091e+00
LAE	3.9179e+03	1.6643e-16	1.4686e+00	5.8026e+01
LAE	3.8228e+03	7.9613e-17	2.8160e-01	1.3781e+02
OII	3.8531e+03	2.1861e-14	1.0737e+03	1.0083e+01
LAE	3.8750e+03	1.1984e-16	2.9530e-01	2.0327e+02
LAE	4.0919e+03	5.1738e-17	1.2230e-01	2.3627e+02
LAE	3.9866e+03	2.4786e-16	7.4450e-01	1.7650e+02
OII	4.1894e+03	1.5941e-16	4.3943e+01	2.1238e+00
LAE	4.0483e+03	5.1762e-17	1.1120e-01	2.5447e+02
LAE	3.9617e+03	6.4784e-17	7.2550e-01	4.6748e+01
OII	4.0347e+03	2.2573e-15	1.3282e+02	9.2283e+00
LAE	4.0454e+03	6.9874e-17	2.3013e+00	1.6575e+01
LAE	3.9980e+03	7.4183e-17	2.9600e-02	1.3362e+03
LAE	3.8592e+03	5.7030e-17	9.5650e-01	2.9621e+01
LAE	3.9187e+03	5.5925e-17	3.2290e-01	8.8718e+01
LAE	3.9734e+03	6.7298e-17	6.0280e-01	5.8794e+01
LAE	3.8982e+03	1.4160e-16	1.1918e+00	6.0223e+01
LAE	3.9894e+03	1.3694e-16	1.1272e+00	6.4494e+01
LAE	3.9596e+03	1.5925e-16	8.4310e-01	9.8782e+01
LAE	3.8850e+03	5.1051e-17	1.1900e-01	2.1598e+02
OII	3.9064e+03	8.3798e-16	7.0473e+01	6.0528e+00
LAE	4.0508e+03	5.9292e-17	3.0880e-01	1.0509e+02
LAE	3.8510e+03	6.0737e-17	2.8110e-01	1.0688e+02
LAE	3.9320e+03	8.2164e-17	1.2730e-01	3.3286e+02
LAE	4.1666e+03	5.3784e-17	2.1110e-01	1.4754e+02
LAE	3.8976e+03	5.6211e-17	2.3480e-01	1.2131e+02
LAE	4.1190e+03	1.2139e-16	1.5174e+00	4.5274e+01
LAE	3.9695e+03	4.7605e-17	5.5755e+00	4.4876e+00
LAE	3.9643e+03	6.7843e-17	2.3340e-01	1.5237e+02
LAE	3.9254e+03	1.2167e-16	7.5770e-01	8.2536e+01
LAE	4.0388e+03	5.0113e-17	1.4960e-01	1.8227e+02
OII	4.1672e+03	2.9746e-15	1.5742e+02	1.0945e+01
LAE	3.8002e+03	6.8403e-17	1.9270e-01	1.7100e+02
LAE	3.9745e+03	7.0223e-17	9.7650e-01	3.7892e+01
LAE	3.9999e+03	1.1236e-16	2.0037e+00	2.9926e+01
LAE	3.9057e+03	6.3533e-17	5.3800e-01	6.0089e+01
OII	4.1386e+03	8.6252e-16	1.4214e+02	3.4667e+00
LAE	3.9440e+03	7.3991e-17	3.0470e-01	1.2600e+02
LAE	3.8482e+03	1.6557e-16	1.7690e+00	4.6233e+01
LAE	3.8893e+03	6.9383e-17	1.7900e-01	1.9558e+02
LAE	4.0811e+03	5.5796e-17	1.6300e-01	1.9017e+02
LAE	3.8639e+03	6.3233e-17	2.0000e-04	1.5745e+05
LAE	3.8303e+03	8.1326e-17	4.8270e-01	8.2453e+01
LAE	3.8950e+03	8.2428e-17	7.0460e-01	5.9199e+01
LAE	3.9157e+03	5.8626e-17	1.4110e-01	2.1250e+02
LAE	3.8780e+03	6.6903e-17	1.5950e-01	2.1042e+02
LAE	3.8756e+03	8.3203e-17	4.1670e-01	1.0004e+02
LAE	3.8178e+03	7.2921e-17	2.6115e+00	1.3576e+01
LAE	3.9313e+03	5.1181e-17	2.8700e-01	9.1934e+01
LAE	4.1085e+03	5.4038e-17	1.7930e-01	1.6969e+02
LAE	4.1589e+03	8.7914e-17	3.1500e-01	1.6102e+02
LAE	3.9257e+03	7.5675e-17	4.5400e-02	8.5684e+02
OII	3.9108e+03	9.8936e-17	5.8747e+00	8.5918e+00
LAE	3.9974e+03	1.1476e-16	1.4962e+00	4.0882e+01
LAE	4.0652e+03	7.4890e-17	2.7990e-01	1.4749e+02
LAE	3.8890e+03	5.9334e-17	-2.3000e-03	1.0000e+04
OII	4.0359e+03	5.8915e-17	3.2827e+00	9.7510e+00
LAE	4.0097e+03	8.2497e-17	3.6500e-01	1.2121e+02
LAE	4.0942e+03	8.3652e-17	2.1390e-01	2.1866e+02
LAE	4.0998e+03	4.9056e-17	1.4213e+00	1.9352e+01
LAE	4.0638e+03	6.0897e-17	3.0190e+00	1.1112e+01
OII	3.9898e+03	1.1690e-16	3.5175e+02	1.7650e-01
LAE	3.9309e+03	8.7898e-17	7.3280e-01	6.1825e+01
LAE	4.0766e+03	5.7095e-17	1.7412e+00	1.8177e+01
LAE	4.1946e+03	1.8204e-16	1.4180e-01	7.5343e+02
LAE	3.9589e+03	4.9165e-17	7.1300e-02	3.6049e+02
LAE	4.1686e+03	9.2734e-17	1.3020e-01	4.1285e+02
LAE	4.0402e+03	8.5700e-17	3.5120e-01	1.3287e+02
LAE	3.9795e+03	5.3608e-17	6.5100e-02	4.3499e+02
LAE	4.1790e+03	4.8035e-17	1.5290e-01	1.8301e+02
LAE	3.8009e+03	8.5800e-17	1.1057e+00	3.7394e+01
OII	4.0605e+03	6.0040e-16	1.1634e+02	2.8383e+00
LAE	3.9964e+03	4.7457e-17	6.5933e+00	3.8345e+00
LAE	4.0642e+03	6.8813e-17	2.9271e+00	1.2953e+01
LAE	4.0480e+03	9.9251e-17	1.1654e+00	4.6551e+01
LAE	4.1285e+03	6.7380e-17	2.1690e-01	1.7662e+02
LAE	4.0431e+03	6.4456e-17	1.1575e+00	3.0363e+01
LAE	4.1664e+03	1.0473e-16	2.4740e-01	2.4511e+02
LAE	3.9291e+03	4.9876e-17	2.1760e-01	1.1803e+02
LAE	4.1077e+03	1.5509e-16	2.5950e-01	3.3637e+02
LAE	4.1381e+03	5.9961e-17	1.7780e-01	1.9263e+02
OII	4.1146e+03	9.8528e-17	8.2266e+01	6.7640e-01
LAE	3.9390e+03	1.5492e-16	2.5580e-01	3.1344e+02
LAE	3.9705e+03	9.8594e-17	2.5490e-01	2.0340e+02
LAE	4.1432e+03	4.9453e-17	1.6790e-01	1.6866e+02
LAE	4.1735e+03	9.5690e-17	6.4700e-02	8.5932e+02
OII	3.9368e+03	9.6738e-16	2.8427e+02	1.7593e+00
OII	4.0623e+03	1.0907e-15	3.9567e+01	1.5174e+01
LAE	4.1597e+03	5.4698e-17	3.7200e-02	8.4865e+02
LAE	3.8476e+03	8.7885e-17	5.1922e+00	8.3583e+00
LAE	3.8382e+03	1.2212e-16	1.2480e+00	4.8085e+01
OII	4.0638e+03	4.5416e-16	2.2624e+02	1.1058e+00
LAE	3.9980e+03	5.1159e-17	2.6200e-01	1.0411e+02
LAE	3.9576e+03	5.5480e-17	6.5800e-02	4.4051e+02
LAE	4.0845e+03	7.0202e-17	3.9627e+00	9.8585e+00
LAE	3.9680e+03	5.8069e-17	3.5260e-01	8.6493e+01
OII	4.0486e+03	2.1037e-16	6.9799e+01	1.6479e+00
LAE	3.8431e+03	7.0961e-17	1.9790e-01	1.7665e+02
LAE	3.9574e+03	9.2571e-17	1.6015e+00	3.0196e+01
OII	4.1723e+03	2.1338e-16	1.3162e+01	9.4141e+00
LAE	3.9859e+03	8.4623e-17	5.0020e-01	8.9655e+01
LAE	3.8999e+03	5.7619e-17	7.3084e+00	3.9998e+00
LAE	4.0583e+03	7.2348e-17	1.4000e-01	2.8390e+02
LAE	4.1342e+03	5.5381e-17	1.6400e-02	1.9252e+03
LAE	3.8441e+03	8.2656e-17	3.3350e-01	1.2216e+02
LAE	4.0936e+03	1.6902e-16	3.9580e-01	2.3870e+02
LAE	4.1958e+03	6.4826e-17	4.2520e-01	8.9531e+01
OII	4.1243e+03	1.6996e-16	7.3458e+00	1.3128e+01
LAE	3.9813e+03	7.7221e-17	9.7700e-02	4.1790e+02
LAE	3.9507e+03	1.0515e-16	8.9730e-01	6.1010e+01
LAE	3.8819e+03	5.3638e-17	9.8220e-01	2.7450e+01
LAE	3.8200e+03	1.6983e-16	1.1507e+00	7.1837e+01
LAE	4.0812e+03	7.1519e-17	2.1605e+00	1.8392e+01
LAE	3.9043e+03	6.9134e-17	6.9890e-01	5.0298e+01
OII	4.1389e+03	7.7840e-17	1.3373e+01	3.3260e+00
LAE	4.1214e+03	5.3991e-17	1.8465e+00	1.6567e+01
LAE	4.1866e+03	4.9085e-17	1.0590e-01	2.7100e+02
OII	4.0541e+03	2.6531e-16	1.0272e+01	1.4160e+01
LAE	4.0233e+03	5.1363e-17	5.6420e-01	4.9154e+01
LAE	3.9079e+03	1.2057e-16	-3.6200e-02	1.0000e+04
LAE	4.1813e+03	5.8774e-17	2.1130e-01	1.6221e+02
LAE	3.9538e+03	7.1316e-17	8.2140e-01	4.5273e+01
LAE	3.9099e+03	8.0757e-17	1.4490e-01	2.8420e+02
LAE	3.8854e+03	6.6564e-17	3.9000e-02	8.5948e+02
LAE	4.0320e+03	6.7997e-17	5.0860e-01	7.2499e+01
LAE	3.8815e+03	5.6013e-17	1.6126e+00	1.7456e+01
OII	3.8388e+03	3.9529e-16	3.8383e+01	5.0624e+00
LAE	3.9648e+03	9.3715e-17	4.1010e-01	1.1982e+02
LAE	3.8167e+03	8.7501e-17	1.1230e+00	3.7861e+01
OII	4.0986e+03	6.4002e-17	1.8984e+01	1.8891e+00
LAE	4.1471e+03	4.5884e-17	1.0760e-01	2.4464e+02
LAE	4.0282e+03	6.9638e-17	2.3170e-01	1.6268e+02
LAE	4.1964e+03	4.9155e-17	1.7850e-01	1.6176e+02
OII	4.0957e+03	3.5699e-16	7.8299e+01	2.5512e+00
LAE	4.1265e+03	1.2055e-16	8.9900e-01	7.6165e+01
LAE	3.9762e+03	1.0990e-16	3.6150e-01	1.6033e+02
OII	4.1934e+03	1.1336e-16	2.9698e+00	2.2389e+01
LAE	3.9822e+03	5.4825e-17	1.4320e-01	2.0252e+02
LAE	4.1380e+03	1.6219e-16	5.0650e-01	1.8289e+02
LAE	4.0114e+03	1.0731e-16	7.1640e-01	8.0399e+01
LAE	3.8453e+03	9.8871e-17	2.2710e-01	2.1473e+02
LAE	3.9700e+03	7.1923e-17	1.1484e+00	3.2925e+01
LAE	4.1175e+03	4.4867e-17	3.9280e-01	6.4597e+01
LAE	3.8252e+03	7.8305e-17	3.3910e-01	1.1271e+02
LAE	3.8476e+03	7.4799e-17	1.7091e+00	2.1611e+01
LAE	3.8224e+03	6.7164e-17	1.4750e-01	2.2192e+02
OII	4.1849e+03	1.5976e-15	2.2867e+02	4.0812e+00
LAE	4.1756e+03	4.9445e-17	2.2150e-01	1.2983e+02
OII	4.1626e+03	7.0870e-17	3.8108e+00	1.0749e+01
OII	4.0725e+03	1.8467e-16	4.5522e+01	2.2442e+00
LAE	4.1595e+03	6.6605e-17	7.9900e-02	4.8109e+02
LAE	4.1291e+03	4.9188e-17	1.7777e+00	1.5736e+01
LAE	3.9650e+03	4.4985e-17	4.4910e-01	5.2529e+01
LAE	3.8648e+03	9.9894e-17	1.8430e-01	2.7005e+02
LAE	3.9798e+03	5.0653e-17	6.5695e+00	4.0735e+00
LAE	4.0330e+03	1.0789e-16	8.1410e-01	7.1903e+01
OII	4.0423e+03	7.9553e-17	5.0157e+00	8.6450e+00
LAE	3.8641e+03	5.7911e-17	-4.9500e-02	1.0000e+04
OII	4.1417e+03	8.0032e-17	3.1560e+01	1.4510e+00
LAE	3.8139e+03	1.0917e-16	1.9052e+00	2.7802e+01
LAE	4.0078e+03	6.8397e-17	7.8580e-01	4.6635e+01
OII	4.1467e+03	5.6899e-17	4.5028e+00	7.2477e+00
LAE	4.1056e+03	4.5395e-17	2.2660e-01	1.1264e+02
LAE	4.0988e+03	9.4562e-17	1.2770e+00	4.1498e+01
LAE	4.0542e+03	6.5815e-17	7.8300e-02	4.6084e+02
LAE	4.0542e+03	9.1082e-17	7.3480e-01	6.7961e+01
LAE	4.0407e+03	5.5455e-17	1.2880e-01	2.3448e+02
LAE	3.8775e+03	8.2135e-17	5.4400e-02	7.5722e+02
LAE	3.8467e+03	1.3430e-16	1.4710e-01	4.5063e+02
LAE	4.1838e+03	1.7152e-16	8.6110e-01	1.1630e+02
LAE	3.8594e+03	7.9441e-17	4.8590e-01	8.1230e+01
LAE	4.1889e+03	6.0198e-17	3.8271e+00	9.2065e+00
LAE	4.1703e+03	4.9319e-17	1.5020e-01	1.9049e+02
