type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	3.9054e+03	6.8842e-17	1.2860e-01	2.7234e+02
OII	4.0982e+03	1.0173e-16	6.6819e+01	8.5290e-01
LAE	4.0970e+03	9.8036e-17	5.4210e-01	1.0125e+02
LAE	3.9816e+03	5.0652e-17	2.4100e-01	1.1114e+02
OII	3.8513e+03	1.6906e-16	1.4987e+01	5.5810e+00
LAE	4.0925e+03	7.5390e-17	1.6710e-01	2.5206e+02
LAE	3.9969e+03	7.4945e-17	3.2660e-01	1.2228e+02
OII	4.0330e+03	2.4858e-16	1.4049e+01	9.5999e+00
LAE	3.9568e+03	1.1750e-16	1.2515e+00	4.9033e+01
LAE	4.1685e+03	1.1941e-16	3.0300e-01	2.2843e+02
LAE	4.0339e+03	8.9848e-17	5.0990e-01	9.5644e+01
LAE	3.9681e+03	5.3840e-17	1.2230e-01	2.3122e+02
LAE	3.9852e+03	1.4346e-16	1.5750e+00	4.8252e+01
LAE	3.8405e+03	1.0209e-16	3.3950e-01	1.4795e+02
LAE	4.0281e+03	4.8783e-17	7.2800e-02	3.6267e+02
LAE	3.9391e+03	5.4240e-17	1.0139e+00	2.7689e+01
LAE	3.9240e+03	6.1191e-17	7.7110e-01	4.0757e+01
LAE	4.0449e+03	9.6359e-17	8.2080e-01	6.4069e+01
LAE	3.8531e+03	9.9911e-17	1.6150e-01	3.0637e+02
LAE	3.9360e+03	4.8091e-17	2.0010e-01	1.2420e+02
LAE	3.8030e+03	1.8402e-16	3.6485e+01	2.4332e+00
LAE	4.1610e+03	5.2054e-17	1.3800e-01	2.1785e+02
OII	4.1862e+03	1.7290e-16	7.1228e+02	1.4190e-01
LAE	4.0930e+03	5.3346e-17	1.6905e+00	1.7634e+01
OII	3.9174e+03	1.3015e-16	6.3472e+00	1.0496e+01
LAE	3.9139e+03	6.5431e-17	3.0420e-01	1.0990e+02
